module_id	module_name	tier	source_org_count	source_orgs
M00854	Glycogen biosynthesis, glucose-1P => glycogen/starch	A	38	ade,afr,alam,apr,apv,bsr,bsu,cac,cae,cex,cpo,cprv,ctd,ctr,dra,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,hin,hit,mbf,nli,ote,rba,rmr,syn,syz,tai,tro,tye,vai,vbl
M00855	Glycogen degradation, glycogen => glucose-6P	A	9	apr,bth,btho,cprv,ecj,eco,fma,fml,ote
M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	A	2	heo,hpy
M00877	Kanosamine biosynthesis, glucose-6P => kanosamine	A	2	bsr,bsu
M00878	Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA	A	2	ecj,eco
M00879	Arginine succinyltransferase pathway, arginine => glutamate	A	2	ecj,eco
M00880	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	A	21	aae,ade,afr,bsed,bsr,bsu,cex,ddf,ecj,eco,gsk,heo,hin,hit,hpy,nli,ote,rba,rmr,tro,vab
M00881	Lipoic acid biosynthesis, plants and bacteria, octanoyl-ACP => dihydrolipoyl-E2/H	A	30	aba,ade,afr,bsed,bth,btho,ccz,cprv,dra,ecj,eco,fml,gau,gsk,gsu,hin,hit,ial,nme,nmp,ote,rmr,rpo,rpr,syn,syz,tro,vab,vai,vbl
M00883	Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2	A	2	bsr,bsu
M00895	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP	A	2	bsr,bsu
M00896	Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP	A	1	ttk
M00899	Thiamine salvage pathway, HMP/HET => TMP	A	16	alam,apr,bsr,bsu,cac,cae,cpo,ecj,eco,fma,gau,heo,hin,hit,hpy,tai
